fips,land_area,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
01001,594.4,5.6,5.0,6.4,4.6,3.9,4.3,5.3,3.7,4.1,3.0,4.4,4.9
01003,1589.8,5.7,5.1,6.7,4.3,4.6,5.3,6.9,6.0,5.6,2.8,4.9,4.6
01005,884.9,5.4,4.9,6.2,3.9,3.7,4.6,5.3,4.0,3.7,2.9,4.2,4.5
01007,622.6,6.1,5.1,6.6,5.0,4.4,4.4,5.1,3.8,3.9,3.4,4.5,4.9
01009,644.8,5.8,4.9,6.5,5.1,4.6,4.3,4.8,3.4,4.4,3.2,4.6,5.0
01011,622.8,5.2,5.0,6.4,4.1,3.8,4.5,5.1,3.7,3.8,2.7,4.3,4.6
01013,776.8,5.6,5.2,6.9,4.4,4.3,5.0,5.4,4.2,4.2,2.4,4.5,4.8
01015,605.9,5.6,4.9,6.4,4.9,4.3,4.4,4.6,3.5,3.9,2.9,4.3,4.5
01017,596.5,5.4,5.2,6.3,4.6,4.0,4.1,5.2,3.8,3.7,3.1,4.3,4.9
01019,553.7,5.6,5.0,6.4,4.9,4.4,4.2,4.6,3.7,4.0,3.4,4.5,4.8
01021,692.8,5.8,5.1,6.6,4.9,4.2,4.1,5.1,3.8,4.1,3.1,4.4,4.8
01023,913.5,6.1,4.9,6.6,4.9,4.5,4.3,5.4,3.7,4.0,3.4,4.8,4.9
01025,1238.5,6.2,5.4,6.9,4.8,4.4,4.9,5.7,4.6,4.2,3.0,4.9,5.1
01027,604.0,5.9,5.2,6.7,5.0,4.2,4.6,5.1,3.5,3.9,3.1,4.5,4.8
01029,560.1,5.7,5.0,6.5,4.8,4.2,4.5,4.7,3.6,3.7,3.1,4.4,4.6
01031,679.0,5.7,5.3,6.8,4.1,3.9,5.2,5.7,4.2,4.1,2.8,4.6,4.6
01033,592.6,5.3,4.7,6.4,5.1,4.6,4.3,4.4,3.4,4.0,3.5,5.2,5.8
01035,850.2,6.0,5.4,7.1,4.5,4.3,5.4,6.2,4.8,4.4,2.6,4.6,4.9
01037,650.9,5.7,5.2,6.5,4.8,4.0,4.4,5.2,3.8,4.0,3.1,4.4,4.9
01039,1030.5,5.8,5.2,6.9,4.4,3.9,5.8,6.1,5.0,4.5,2.8,4.7,4.6
01041,608.8,5.6,5.2,6.9,4.3,4.3,5.0,5.4,4.1,4.1,2.5,4.5,4.7
01043,734.8,5.9,5.0,6.5,5.1,4.8,4.5,4.7,3.3,4.4,3.6,4.7,5.4
01045,561.2,5.7,5.2,6.6,4.0,4.0,4.9,5.8,4.1,4.0,3.2,4.4,4.5
01047,978.7,5.5,5.0,6.6,4.5,4.1,4.3,4.7,3.6,3.9,3.1,4.2,4.8
01049,777.1,5.8,5.2,6.6,5.0,4.5,4.5,4.7,3.8,4.1,3.5,4.9,5.3
01051,618.5,5.5,5.2,6.4,4.5,3.8,4.3,5.1,3.8,4.0,2.7,4.3,5.0
01053,945.1,6.1,5.4,7.0,4.3,4.2,5.8,6.8,5.4,4.8,2.8,4.8,4.9
01055,535.0,5.6,5.0,6.5,5.0,4.5,4.3,4.5,3.5,4.2,3.3,4.3,5.0
01057,627.7,6.0,5.0,6.5,5.4,4.5,4.4,4.7,3.4,4.1,3.6,4.9,5.4
01059,633.8,5.5,4.7,6.6,5.3,4.5,4.4,4.4,3.3,4.0,3.5,5.2,5.8
01061,574.4,6.0,5.3,6.3,4.1,3.6,5.2,5.9,4.8,4.2,3.2,4.5,4.5
01063,647.1,5.7,5.0,6.3,5.3,4.0,4.0,4.5,3.3,3.5,3.4,4.6,4.8
01065,643.9,5.9,5.1,6.6,5.0,4.3,4.2,5.0,3.5,3.6,3.4,4.5,4.6
01067,561.8,5.7,5.0,6.4,3.7,3.7,4.8,5.8,4.0,3.9,2.9,4.1,4.3
01069,579.8,5.9,5.1,6.1,3.7,3.7,4.9,5.8,4.4,4.2,3.0,4.0,4.2
01071,1077.9,5.6,4.9,6.6,4.9,4.6,4.5,4.6,3.7,4.3,3.8,5.1,5.6
01073,1111.3,5.8,4.8,6.5,4.9,4.5,4.3,5.0,3.5,4.2,3.3,4.7,4.9
01075,604.8,5.9,4.9,6.4,5.7,4.2,4.5,4.6,3.5,4.0,3.6,5.1,5.5
01077,667.7,5.3,4.7,6.4,4.9,4.5,4.4,4.3,3.4,4.0,3.7,5.3,5.9
01079,690.7,5.4,4.7,6.4,5.0,4.2,4.4,4.3,3.3,4.2,3.3,5.1,5.6
01081,607.5,5.3,5.1,6.3,4.5,3.9,4.2,5.3,3.8,3.9,2.7,4.3,5.0
01083,559.9,5.5,4.7,6.5,4.8,4.3,4.4,4.4,3.4,4.0,3.5,5.2,5.8
01085,715.9,5.3,5.0,6.6,4.3,3.9,4.6,4.8,3.6,4.0,2.8,4.3,4.8
01087,608.9,5.2,5.1,6.4,4.3,3.8,4.3,4.9,3.7,3.8,2.6,4.3,4.8
01089,801.6,5.6,4.8,6.6,4.9,4.6,4.6,4.7,3.5,4.1,3.7,5.3,5.5
01091,976.9,5.9,5.0,6.7,4.7,4.2,4.3,5.0,3.6,3.8,3.2,4.5,4.8
01093,742.3,5.7,4.9,6.6,5.4,4.6,4.5,4.6,3.3,4.1,3.5,5.1,5.7
01095,565.8,5.6,4.9,6.5,5.0,4.5,4.2,4.7,3.5,4.2,3.4,4.6,4.9
01097,1229.4,5.9,5.2,6.9,4.6,4.7,5.3,6.7,5.6,5.5,3.0,4.9,4.7
01099,1025.7,6.0,5.4,6.9,4.6,4.3,5.1,5.8,4.7,4.3,2.6,4.6,5.0
01101,784.2,5.2,5.1,6.4,4.2,3.9,4.5,4.8,3.7,3.9,2.5,4.3,4.7
01103,579.3,5.6,4.8,6.5,5.0,4.7,4.5,4.5,3.3,4.1,3.2,5.0,5.3
01105,719.7,5.9,5.1,6.7,4.9,4.1,4.3,4.9,3.7,3.8,3.2,4.3,4.7
01107,881.4,5.8,4.9,6.2,5.7,4.1,4.2,4.6,3.5,3.7,3.5,4.8,5.1
01109,672.1,5.4,5.2,6.8,4.2,3.7,4.7,5.5,3.8,3.9,2.7,4.5,4.6
01111,580.5,5.7,5.2,6.5,4.7,4.1,4.4,4.9,3.7,3.7,3.1,4.4,4.8
01113,641.1,5.3,4.8,5.9,4.0,3.7,4.0,5.0,3.7,3.6,2.5,4.0,4.5
01115,631.9,5.8,4.9,6.7,5.0,4.4,4.3,4.6,3.4,4.3,3.1,4.3,4.8
01117,784.9,5.8,5.0,6.7,4.9,4.4,4.3,5.0,3.7,4.1,3.4,4.5,4.8
01119,903.9,5.7,5.0,6.5,5.2,4.1,4.1,4.8,3.4,3.6,3.1,4.5,5.0
01121,736.8,5.7,5.0,6.6,4.9,4.2,4.3,4.9,3.6,3.9,3.0,4.3,4.6
01123,716.5,5.6,5.3,6.6,4.7,4.0,4.4,5.2,3.9,3.8,2.9,4.3,5.1
01125,1321.8,5.9,4.9,6.5,5.2,4.0,4.3,5.1,3.6,3.8,3.6,4.7,5.0
01127,791.2,5.9,5.0,6.5,5.0,4.5,4.3,4.7,3.5,4.0,3.7,4.6,5.3
01129,1080.2,6.3,5.3,6.9,4.9,4.5,4.8,6.2,4.7,4.6,3.1,5.0,5.1
01131,888.5,5.7,5.3,6.7,4.5,4.0,4.7,5.0,4.0,4.0,2.7,4.4,4.9
01133,613.0,5.8,5.1,6.5,5.1,4.8,4.5,4.6,3.4,4.3,3.6,4.9,5.6
04001,11197.5,1.1,0.9,1.2,0.6,0.6,0.4,1.8,2.1,1.4,1.4,1.1,1.0
04003,6165.7,1.1,1.0,0.8,0.3,0.3,0.5,3.2,3.1,1.6,1.4,0.8,1.3
04005,18618.9,1.3,1.3,1.6,0.7,0.6,0.3,1.6,1.9,1.3,1.1,1.1,1.0
04007,4757.9,2.3,2.2,2.6,0.8,0.6,0.3,2.2,2.9,1.8,1.8,1.7,1.9
04009,4622.6,1.4,1.3,1.4,0.4,0.4,0.4,2.4,2.7,1.7,1.6,1.1,1.5
04011,1843.1,1.4,1.3,1.3,0.5,0.5,0.5,2.8,3.1,1.8,1.8,1.2,1.5
04012,4499.6,0.7,0.8,0.7,0.2,0.1,0.0,0.5,1.0,0.6,0.4,0.4,0.6
04013,9200.1,1.0,1.1,1.2,0.3,0.2,0.1,0.9,1.4,0.9,0.8,0.7,1.0
04015,13311.1,1.2,1.2,1.4,0.5,0.4,0.2,1.1,1.5,0.8,0.8,0.8,0.8
04017,9950.4,1.0,1.0,1.2,0.6,0.5,0.3,1.5,1.9,1.3,1.3,1.0,0.9
04019,9187.0,1.0,1.0,1.1,0.3,0.2,0.2,2.1,2.7,1.4,1.1,0.8,1.3
04021,5365.6,1.2,1.3,1.5,0.4,0.3,0.2,1.5,2.0,1.2,1.1,1.0,1.4
04023,1236.9,1.4,1.3,1.3,0.5,0.3,0.4,4.1,3.9,1.9,1.5,1.0,1.5
04025,8123.5,1.7,1.9,2.1,0.7,0.5,0.3,1.8,2.5,1.6,1.2,1.2,1.3
04027,5514.0,0.6,0.6,0.6,0.2,0.0,0.0,0.4,0.9,0.5,0.4,0.3,0.6
05001,988.8,4.1,3.9,5.4,5.1,4.8,4.1,3.5,2.7,3.1,3.6,5.1,5.1
05003,925.3,5.4,4.8,6.0,5.5,4.7,4.5,4.0,3.0,3.2,3.6,5.1,5.4
05005,554.3,2.5,2.8,4.3,4.2,4.4,4.1,2.9,2.7,3.9,3.1,4.9,3.8
05007,847.4,2.2,2.4,4.2,4.4,5.0,5.0,3.2,3.3,5.0,3.9,4.7,3.3
05009,590.2,2.5,2.7,4.4,4.2,4.6,4.6,3.0,3.2,4.2,3.5,4.9,3.6
05011,649.2,5.0,4.5,5.8,5.0,4.9,4.3,4.0,3.1,3.4,3.6,5.0,5.1
05013,628.6,4.7,4.3,5.4,4.9,4.9,4.4,3.9,3.1,3.5,4.0,5.1,5.0
05015,630.1,2.4,2.6,4.3,4.3,4.7,5.0,3.2,3.3,4.4,3.6,4.8,3.3
05017,644.3,5.3,4.8,5.9,5.6,4.8,4.4,3.8,2.8,2.9,3.7,5.2,5.6
05019,866.1,3.8,3.8,5.2,5.0,4.9,4.6,4.0,2.9,3.9,4.3,5.8,5.1
05021,639.5,3.3,3.4,4.9,4.8,4.8,3.8,3.6,3.4,3.4,3.2,5.0,4.4
05023,553.7,3.2,3.5,5.1,5.1,4.6,3.9,3.3,3.2,4.0,3.9,5.6,4.6
05025,597.8,4.5,4.2,5.4,5.0,4.5,4.0,3.9,3.0,3.3,4.0,5.2,5.1
05027,766.0,4.6,4.3,5.0,4.8,4.7,4.8,3.9,3.2,3.5,3.9,5.2,5.0
05029,552.2,3.1,3.4,4.8,5.0,4.8,4.4,3.2,2.8,3.9,4.0,5.5,4.6
05031,707.2,3.3,3.6,4.9,5.1,5.1,3.6,3.1,3.0,3.5,3.5,5.1,4.7
05033,593.1,2.6,2.9,4.7,4.5,5.6,4.8,3.5,3.1,4.7,4.0,5.3,3.7
05035,609.8,3.8,4.0,5.3,5.6,5.1,4.4,3.6,3.1,3.3,3.6,5.2,5.1
05037,616.4,3.6,3.8,5.0,5.5,5.0,4.1,3.3,3.0,3.4,3.5,5.1,4.9
05039,667.4,4.2,4.0,5.1,4.9,4.7,4.4,3.9,3.0,3.6,3.7,5.4,5.1
05041,768.2,4.8,4.5,5.6,5.2,4.7,4.0,3.8,2.7,3.1,3.4,5.2,5.2
05043,828.4,5.0,4.7,5.8,5.2,5.0,4.2,4.0,3.1,3.3,3.6,5.1,5.2
05045,647.9,3.3,3.4,4.9,5.2,4.7,4.3,3.2,2.9,4.0,3.9,5.6,4.7
05047,608.9,2.7,2.9,4.5,4.6,5.3,4.6,3.5,2.8,4.5,3.8,5.3,4.0
05049,618.2,2.7,2.9,4.5,4.5,4.7,3.8,3.2,3.1,4.0,3.5,5.0,4.0
05051,677.8,3.5,3.8,5.3,5.3,5.0,4.7,3.9,2.9,4.1,4.6,5.9,5.1
05053,631.8,3.9,3.9,5.1,5.1,4.5,4.2,3.9,3.0,3.4,3.7,5.4,5.2
05055,577.7,3.3,3.5,4.9,4.9,4.9,3.5,3.3,3.1,3.5,3.4,5.0,4.5
05057,727.5,3.7,3.9,5.0,4.7,4.9,4.8,3.9,3.2,3.9,4.3,5.6,5.1
05059,615.2,3.7,3.8,5.2,5.2,4.8,4.6,4.1,2.9,3.8,4.4,5.8,5.1
05061,588.5,3.4,3.9,5.3,5.0,5.2,4.9,4.0,2.8,4.4,4.4,5.7,5.1
05063,764.0,3.3,3.4,4.8,4.8,4.8,3.6,3.2,3.2,3.8,3.6,5.3,4.5
05065,580.6,2.8,3.1,4.6,4.5,4.7,3.7,3.1,3.1,4.0,3.3,5.2,4.2
05067,633.9,3.5,3.4,4.9,5.0,4.7,3.7,3.1,3.2,3.7,3.4,5.2,4.7
05069,870.8,4.1,4.0,5.2,5.1,4.5,3.9,3.7,2.9,3.2,3.6,5.2,5.1
