fips,land_area,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
01001,594.4,44.8,48.9,56.3,62.9,70.9,77.5,80.5,79.7,75.0,64.1,54.5,47.6
01003,1589.8,49.9,53.3,59.9,66.0,73.2,79.1,81.3,80.8,77.1,67.5,58.7,52.5
01005,884.9,46.7,50.7,57.7,64.2,71.8,78.1,80.7,79.9,75.7,65.4,56.5,49.3
01007,622.6,43.0,47.2,54.9,61.7,69.6,76.4,79.9,79.0,73.8,62.8,53.2,46.0
01009,644.8,40.5,44.7,52.6,60.0,68.1,75.1,78.9,78.1,72.3,61.0,51.4,43.7
01011,622.8,45.6,49.7,56.7,63.4,71.1,77.7,80.4,79.6,75.2,64.6,55.7,48.4
01013,776.8,46.0,49.8,57.0,63.4,71.0,77.3,80.2,79.4,75.2,64.7,55.5,48.7
01015,605.9,41.2,45.2,53.0,60.1,68.0,75.1,78.8,77.8,72.1,61.0,51.7,44.2
01017,596.5,42.7,46.5,53.9,60.9,68.5,75.5,78.8,77.7,72.7,61.9,52.8,45.4
01019,553.7,40.3,44.4,52.3,59.8,67.8,75.1,78.7,77.7,71.9,60.7,51.1,43.3
01021,692.8,43.4,47.6,55.1,61.8,69.6,76.4,79.7,78.7,73.7,62.9,53.4,46.3
01023,913.5,45.8,49.9,57.2,63.7,71.4,77.9,80.8,80.1,75.3,64.4,55.1,48.4
01025,1238.5,46.7,50.6,57.8,64.0,71.6,77.9,80.7,80.0,75.5,64.9,55.7,49.3
01027,604.0,41.6,45.6,53.1,60.1,67.6,74.3,77.7,76.7,71.4,60.7,51.8,44.5
01029,560.1,40.5,44.4,52.1,59.2,66.8,73.9,77.5,76.5,70.9,59.9,50.9,43.5
01031,679.0,47.3,51.2,58.2,64.3,72.0,78.1,80.5,79.8,75.8,65.7,56.8,49.9
01033,592.6,38.9,43.3,51.6,59.5,67.6,75.0,78.7,77.7,71.6,60.2,50.3,42.4
01035,850.2,47.3,51.1,58.1,64.2,71.7,78.0,80.7,79.9,75.6,65.3,56.2,50.0
01037,650.9,43.2,47.2,54.7,61.4,69.0,75.7,79.0,78.1,73.1,62.4,53.2,46.0
01039,1030.5,47.6,51.3,58.2,64.4,72.0,78.2,80.7,80.0,76.0,65.6,56.7,50.1
01041,608.8,45.8,49.7,56.8,63.4,71.0,77.3,80.0,79.2,75.1,64.6,55.5,48.4
01043,734.8,39.8,44.1,52.1,59.8,67.8,74.9,78.7,77.8,72.0,60.6,50.9,43.1
01045,561.2,47.9,51.8,58.7,64.9,72.5,78.5,80.9,80.2,76.1,66.2,57.3,50.5
01047,978.7,45.6,49.6,57.1,63.4,71.3,77.9,80.9,80.1,75.4,64.6,55.0,48.3
01049,777.1,38.7,42.9,50.9,58.5,66.4,73.6,77.2,76.2,70.5,59.6,50.1,42.0
01051,618.5,44.7,48.7,56.1,62.7,70.6,77.2,80.3,79.6,74.8,63.9,54.6,47.5
01053,945.1,48.6,52.2,59.0,65.0,72.5,78.5,81.0,80.3,76.1,66.0,57.1,51.0
01055,535.0,40.7,44.8,52.8,60.1,68.1,75.3,78.9,77.9,72.1,61.1,51.5,43.8
01057,627.7,41.4,45.7,53.6,60.7,68.9,76.0,79.7,78.9,73.3,61.8,52.1,44.5
01059,633.8,39.1,43.5,51.6,59.3,67.4,74.6,78.3,77.3,71.5,60.2,50.4,42.4
01061,574.4,48.5,52.2,59.0,65.2,72.8,78.7,81.0,80.3,76.6,66.5,57.7,50.9
01063,647.1,43.8,48.1,55.9,62.8,70.9,77.8,81.1,80.3,75.1,63.8,54.0,46.8
01065,643.9,43.9,48.1,55.9,62.6,70.7,77.5,80.7,79.9,74.9,63.8,54.0,46.9
01067,561.8,48.1,52.0,58.9,65.3,72.8,78.7,81.1,80.4,76.2,66.4,57.5,50.5
01069,579.8,49.2,52.8,59.7,65.9,73.5,79.3,81.5,80.8,76.9,67.1,58.3,51.5
01071,1077.9,38.5,42.8,50.8,58.7,66.8,74.0,77.7,76.7,70.9,59.8,50.0,41.9
01073,1111.3,41.9,46.2,53.9,60.9,69.0,76.1,79.8,79.0,73.3,62.0,52.3,45.1
01075,604.8,41.3,45.7,53.6,60.8,69.1,76.2,79.8,79.0,73.3,61.8,52.0,44.4
01077,667.7,38.3,42.8,51.1,59.1,67.2,74.7,78.4,77.3,71.2,59.8,49.8,41.8
01079,690.7,39.2,43.4,51.6,59.5,67.5,74.8,78.6,77.7,71.8,60.4,50.5,42.6
01081,607.5,44.5,48.1,55.3,62.1,69.7,76.6,79.7,78.7,74.0,63.5,54.5,47.2
01083,559.9,38.7,43.0,51.1,59.2,67.3,74.7,78.4,77.5,71.3,60.1,50.1,42.2
01085,715.9,45.7,49.7,57.0,63.6,71.4,77.9,80.8,80.1,75.6,64.8,55.3,48.5
01087,608.9,45.3,49.3,56.4,63.0,70.9,77.6,80.6,79.8,75.1,64.4,55.4,48.1
01089,801.6,38.8,43.2,51.1,59.1,67.3,74.7,78.4,77.4,71.4,60.1,50.3,42.4
01091,976.9,45.4,49.4,56.9,63.3,71.2,77.9,80.9,80.1,75.3,64.4,54.9,48.1
01093,742.3,40.0,44.3,52.4,59.7,67.9,75.1,78.7,77.9,72.2,60.7,51.0,43.2
01095,565.8,39.7,44.0,52.0,59.6,67.6,74.9,78.4,77.5,71.8,60.8,51.1,43.2
01097,1229.4,49.5,52.9,59.6,65.9,73.1,78.9,81.2,80.8,76.8,67.2,58.3,52.0
01099,1025.7,47.1,50.8,58.0,64.1,71.7,77.9,80.7,79.9,75.6,65.2,56.0,49.7
01101,784.2,45.6,49.6,56.7,63.4,71.3,77.8,80.8,80.1,75.5,64.7,55.4,48.4
01103,579.3,39.3,43.6,51.6,59.6,67.6,74.9,78.6,77.8,71.7,60.5,50.6,42.8
01105,719.7,44.3,48.4,56.0,62.6,70.6,77.2,80.4,79.6,74.7,63.8,54.1,47.1
01107,881.4,42.4,46.8,54.8,61.9,70.2,77.3,80.7,79.8,74.3,62.9,53.0,45.6
01109,672.1,46.2,50.2,57.1,63.6,71.3,77.6,80.3,79.5,75.3,65.0,55.9,48.9
01111,580.5,41.3,45.2,52.8,59.8,67.4,74.5,77.9,76.8,71.5,60.5,51.5,44.2
01113,641.1,46.0,49.7,56.9,63.4,71.1,77.8,80.6,79.8,75.3,64.7,55.7,48.6
01115,631.9,41.4,45.5,53.3,60.3,68.3,75.4,79.1,78.2,72.4,61.3,51.9,44.4
01117,784.9,42.5,46.7,54.3,61.1,69.0,76.0,79.6,78.6,73.2,62.1,52.6,45.5
01119,903.9,44.4,48.7,56.3,62.9,71.0,77.9,81.0,80.3,75.1,63.9,54.4,47.3
01121,736.8,42.3,46.4,54.1,60.8,68.6,75.5,79.1,78.1,72.7,61.7,52.5,45.3
01123,716.5,43.1,47.1,54.5,61.3,69.0,75.8,79.1,78.1,73.1,62.3,53.2,45.9
01125,1321.8,42.9,47.1,54.9,61.8,69.9,76.9,80.5,79.7,74.3,63.1,53.3,46.1
