fips,land_area,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
01001,594.4,55.6,60.8,68.7,76.2,83.2,88.9,91.3,90.6,86.4,76.9,66.9,58.8
01003,1589.8,60.3,64.4,71.0,77.4,84.0,89.1,91.0,90.5,87.0,79.1,70.1,63.1
01005,884.9,57.6,62.7,70.0,77.2,83.7,89.1,91.4,90.6,86.8,77.7,68.8,60.6
01007,622.6,53.8,59.1,67.4,74.9,81.8,87.9,90.9,90.1,85.3,75.6,65.4,57.0
01009,644.8,50.6,56.1,64.7,73.1,80.1,86.7,90.0,89.4,83.9,73.6,63.0,54.3
01011,622.8,56.5,61.7,69.1,76.4,83.3,89.0,91.3,90.5,86.5,77.1,68.0,59.7
01013,776.8,57.3,62.2,69.8,76.8,83.4,88.9,91.3,90.5,86.7,77.7,68.1,60.2
01015,605.9,51.5,57.0,65.4,73.5,80.3,86.7,89.8,89.1,83.7,73.9,63.8,55.0
01017,596.5,53.9,59.3,67.0,74.7,81.4,87.5,90.1,88.9,84.3,74.9,65.4,56.8
01019,553.7,50.4,55.9,64.4,72.8,79.8,86.5,89.7,88.9,83.4,73.4,63.0,53.9
01021,692.8,54.4,59.8,67.9,75.4,82.3,88.2,90.9,90.1,85.5,76.0,65.9,57.6
01023,913.5,57.0,62.2,70.1,76.9,83.5,89.3,91.7,91.2,86.7,77.7,68.0,59.9
01025,1238.5,57.8,62.8,70.6,77.2,83.8,89.3,91.5,90.9,86.9,78.1,68.4,60.7
01027,604.0,52.4,58.0,65.9,73.8,80.4,86.2,89.2,88.2,83.4,73.8,64.2,55.7
01029,560.1,51.2,56.5,64.7,72.7,79.4,85.7,88.5,87.8,82.6,73.0,63.1,54.3
01031,679.0,58.4,63.3,70.5,77.2,84.0,89.3,91.2,90.4,87.0,78.1,68.9,61.2
01033,592.6,49.3,54.8,64.0,73.0,80.0,86.7,90.1,89.6,83.8,73.5,62.2,53.0
01035,850.2,58.9,63.7,71.0,77.7,84.2,89.5,91.7,90.9,87.0,78.5,69.0,61.7
01037,650.9,54.1,59.6,67.5,75.1,81.8,87.7,90.4,89.7,85.1,75.6,65.8,57.3
01039,1030.5,59.2,64.0,71.0,78.0,84.7,89.9,91.9,91.1,87.4,78.6,69.4,61.9
01041,608.8,57.2,62.2,69.7,76.7,83.6,89.0,91.3,90.5,86.8,77.6,68.2,60.1
01043,734.8,50.1,55.5,64.3,73.0,80.0,86.4,90.0,89.4,83.8,73.4,62.6,53.7
01045,561.2,58.6,63.5,70.7,77.5,84.2,89.3,91.2,90.4,87.0,78.1,69.1,61.4
01047,978.7,56.0,61.0,69.2,76.2,83.1,88.9,91.4,90.7,86.5,77.1,67.1,59.1
01049,777.1,47.9,53.4,61.9,70.6,77.7,84.4,87.7,87.0,81.6,71.6,60.9,51.7
01051,618.5,55.6,60.9,68.7,76.2,83.1,88.9,91.3,90.8,86.3,76.8,67.1,58.9
01053,945.1,60.0,64.7,71.7,78.4,85.0,90.1,91.9,91.2,87.4,79.0,69.7,62.6
01055,535.0,50.4,55.9,64.4,72.8,79.8,86.4,89.6,88.9,83.5,73.5,63.0,54.0
01057,627.7,51.5,57.0,65.8,74.0,81.0,87.3,90.8,90.2,84.7,74.6,63.9,55.1
01059,633.8,49.2,54.6,63.7,72.5,79.4,85.9,89.3,89.0,83.3,73.1,62.0,52.9
01061,574.4,59.6,64.2,71.2,77.9,84.6,89.7,91.5,90.6,87.4,78.8,69.7,62.3
01063,647.1,54.0,59.4,68.0,75.4,82.5,88.8,91.7,91.0,86.3,76.5,66.1,57.4
01065,643.9,54.1,59.3,67.9,75.2,82.3,88.4,91.3,90.5,85.9,76.3,65.9,57.3
01067,561.8,58.6,63.6,70.8,77.9,84.4,89.4,91.3,90.6,86.9,78.2,69.2,61.3
01069,579.8,59.7,64.3,71.5,78.4,85.2,90.1,91.8,90.8,87.6,79.0,70.0,62.4
01071,1077.9,47.8,53.3,62.0,70.9,78.2,85.1,88.4,87.7,82.1,71.9,61.0,51.7
01073,1111.3,52.2,57.8,66.2,74.1,81.0,87.4,90.6,90.0,84.5,74.4,64.1,55.7
01075,604.8,51.5,57.1,65.8,74.1,81.3,87.7,91.0,90.5,85.0,74.8,64.0,55.2
01077,667.7,48.8,54.4,63.5,72.7,79.7,86.5,90.0,89.4,83.5,73.2,61.9,52.6
01079,690.7,49.5,54.7,63.7,72.5,79.5,86.1,89.7,89.3,83.6,73.3,62.2,53.1
01081,607.5,55.4,60.5,68.1,75.5,82.1,88.1,90.6,89.6,85.2,75.9,66.7,58.3
01083,559.9,48.8,54.2,63.1,72.1,79.4,86.1,89.6,89.2,83.4,73.1,61.9,52.6
01085,715.9,56.6,61.5,69.3,76.5,83.4,89.0,91.5,90.8,86.8,77.5,67.6,59.7
01087,608.9,56.2,61.4,69.1,76.4,83.2,89.1,91.6,90.7,86.5,76.9,67.8,59.4
01089,801.6,48.6,54.1,62.9,72.0,79.2,86.0,89.4,89.0,83.2,72.9,61.8,52.7
01091,976.9,55.9,61.0,69.2,76.1,82.9,88.9,91.5,90.8,86.5,77.1,67.1,58.9
01093,742.3,50.1,55.6,64.5,73.1,80.0,86.4,89.8,89.4,83.9,73.7,62.8,53.9
01095,565.8,49.1,54.5,63.2,71.9,79.0,85.8,89.0,88.4,82.9,72.7,62.0,52.9
01097,1229.4,59.9,64.1,70.8,77.4,84.0,89.1,91.0,90.6,86.8,78.8,69.7,62.7
01099,1025.7,58.2,63.0,70.7,77.3,83.8,89.3,91.5,90.7,86.8,78.2,68.6,61.1
01101,784.2,56.5,61.6,69.2,76.5,83.5,89.2,91.6,91.0,86.8,77.4,67.8,59.8
